time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-10-13T04:37:50.770Z,8.8276,40.141,10,4.6,mb,30,253,3.782,0.69,us,us6000nyds,2024-10-13T16:03:56.696Z,"17 km S of Āwash, Ethiopia",earthquake,8.82,1.998,0.114,23,reviewed,us,us
2024-10-06T17:10:03.972Z,9.1287,40.3209,10,4.9,mb,67,74,3.445,0.48,us,us6000nwx4,2024-10-08T11:19:58.649Z,"23 km NE of Āwash, Ethiopia",earthquake,8.83,1.856,0.069,65,reviewed,us,us
2024-09-30T02:44:33.591Z,9.1226,40.0768,10,4.5,mb,28,110,3.627,0.46,us,us7000nh6y,2024-10-06T18:27:57.768Z,"18 km NNW of Āwash, Ethiopia",earthquake,12.31,1.944,0.118,21,reviewed,us,us
2024-09-27T23:45:24.949Z,8.9123,40.2427,10,4.6,mb,32,262,3.652,0.55,us,us7000ngx8,2024-09-28T03:09:30.996Z,"11 km SE of Āwash, Ethiopia",earthquake,10.51,1.985,0.109,25,reviewed,us,us
2024-09-27T12:20:07.169Z,9.1917,40.0339,10,4.5,mb,28,111,3.614,0.69,us,us7000ngt3,2024-10-13T11:43:25.040Z,"27 km NNW of Āwash, Ethiopia",earthquake,7.02,1.934,0.113,23,reviewed,us,us
2024-09-27T04:36:20.269Z,8.9423,40.0832,10,4.9,mb,47,195,3.743,0.67,us,us7000ngr4,2024-09-28T00:28:41.641Z,"10 km WSW of Āwash, Ethiopia",earthquake,13.55,1.957,0.077,53,reviewed,us,us
2024-07-06T16:36:56.367Z,11.6691,39.6808,9.611,4.4,mb,17,107,2.927,0.57,us,us7000myvx,2024-09-12T21:52:32.040Z,"38 km S of Robīt, Ethiopia",earthquake,8.25,4.418,0.219,6,reviewed,us,us
2024-05-12T21:36:09.854Z,5.2858,36.7419,10,4.9,mb,107,60,6.39,0.58,us,us6000my68,2024-07-20T22:20:09.040Z,"41 km SSE of Jinka, Ethiopia",earthquake,9.12,1.838,0.059,90,reviewed,us,us
2024-03-17T06:03:55.541Z,12.6124,48.0066,10,5.2,mww,135,42,5.16,0.61,us,us6000mjed,2024-05-18T21:23:31.040Z,"162 km N of Las Khorey, Somalia",earthquake,4.83,1.817,0.08,15,reviewed,us,us
2024-03-16T07:09:30.198Z,14.0351,41.1815,9.852,4.5,mb,51,118,2.972,0.64,us,us6000mj8r,2024-05-18T21:23:19.040Z,"56 km WNW of Edd, Eritrea",earthquake,8.53,4.752,0.083,43,reviewed,us,us
